,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
177538,way,45.3898566,-75.6250523,,2147,Bingham Street,detached,"2147 Bingham street, Ottawa, ON","2147 Bingham street, Ottawa, ON"
57018,way,45.2861491,-75.7039525,,224,Flodden Way,detached,"224 Flodden way, Ottawa, ON","224 Flodden way, Ottawa, ON"
26707,way,45.2167763,-75.698945,,1349,Pelkey Court,detached,"1349 Pelkey court, Ottawa, ON","1349 Pelkey court, Ottawa, ON"
142696,way,45.3863103,-75.6641754,,1402,Kilborn Avenue,detached,"1402 Kilborn avenue, Ottawa, ON","1402 Kilborn avenue, Ottawa, ON"
33809,way,45.4605206,-75.4538339,,1003,Fieldfair Way,detached,"1003 Fieldfair way, Ottawa, ON","1003 Fieldfair way, Ottawa, ON"
181528,way,45.4715644,-75.5412685,,6300,Fortune Drive,detached,"6300 Fortune drive, Ottawa, ON","6300 Fortune drive, Ottawa, ON"
63154,way,45.3322075,-75.745481,,8,Lansfield Way,detached,"8 Lansfield way, Ottawa, ON","8 Lansfield way, Ottawa, ON"
127010,way,45.404385,-75.6865539,,94,Second Avenue,detached,"94 Second avenue, Ottawa, ON","94 Second avenue, Ottawa, ON"
90940,way,45.2951126,-75.891105,,79,Seabrooke Drive,detached,"79 Seabrooke drive, Ottawa, ON","79 Seabrooke drive, Ottawa, ON"
81552,way,45.3303235,-75.9198482,,48,Hansen Avenue,detached,"48 Hansen avenue, Ottawa, ON","48 Hansen avenue, Ottawa, ON"
45422,way,45.2771968,-75.7452563,,1,Burnt Oak Drive,detached,"1 Burnt oak drive, Ottawa, ON","1 Burnt oak drive, Ottawa, ON"
68956,way,45.3132722,-75.9274251,,178,Insmill Crescent,detached,"178 Insmill crescent, Ottawa, ON","178 Insmill crescent, Ottawa, ON"
91917,way,45.2944598,-75.8756454,,144,Post Road,detached,"144 Post road, Ottawa, ON","144 Post road, Ottawa, ON"
157866,way,45.3741549,-75.6226465,,139,Gardenia Court,detached,"139 Gardenia court, Ottawa, ON","139 Gardenia court, Ottawa, ON"
164844,way,45.4393113,-75.5670557,,4,Highburn Crescent,detached,"4 Highburn crescent, Ottawa, ON","4 Highburn crescent, Ottawa, ON"
175900,way,45.3705546,-75.654365,,1970,Jasper Avenue,detached,"1970 Jasper avenue, Ottawa, ON","1970 Jasper avenue, Ottawa, ON"
181982,way,45.4761959,-75.5508656,,1041,Arrowhead Place,detached,"1041 Arrowhead place, Ottawa, ON","1041 Arrowhead place, Ottawa, ON"
104474,way,45.2939031,-75.8576091,,308,Steeple Chase Drive,detached,"308 Steeple chase drive, Ottawa, ON","308 Steeple chase drive, Ottawa, ON"
116506,way,45.3499118,-75.8023348,,15,Ridgevalley Drive,detached,"15 Ridgevalley drive, Ottawa, ON","15 Ridgevalley drive, Ottawa, ON"
31563,way,45.2465205,-75.7124057,,3888,Prince Of Wales Drive,detached,"3888 Prince of wales drive, Ottawa, ON","3888 Prince of wales drive, Ottawa, ON"
12040,way,45.4047443,-75.7274932,,58,Stirling Avenue,detached,"58 Stirling avenue, Ottawa, ON","58 Stirling avenue, Ottawa, ON"
180204,way,45.453941,-75.5206876,,1820,Brousseau Crescent,detached,"1820 Brousseau crescent, Ottawa, ON","1820 Brousseau crescent, Ottawa, ON"
42938,way,45.2758725,-75.7901927,,5,Burdock Grove,detached,"5 Burdock grove, Ottawa, ON","5 Burdock grove, Ottawa, ON"
101593,way,45.283802,-75.8592511,,31,Bluegrass Drive,detached,"31 Bluegrass drive, Ottawa, ON","31 Bluegrass drive, Ottawa, ON"
155773,way,45.4066476,-75.7136381,,6,Oak Street,detached,"6 Oak street, Ottawa, ON","6 Oak street, Ottawa, ON"
42878,way,45.2661288,-75.7124331,,152,Willow Creek Circle,detached,"152 Willow creek circle, Ottawa, ON","152 Willow creek circle, Ottawa, ON"
106393,way,45.3473945,-75.6273045,,1646,Kingsdale Avenue,detached,"1646 Kingsdale avenue, Ottawa, ON","1646 Kingsdale avenue, Ottawa, ON"
60868,way,45.2658435,-75.921307,,39,Hesse Crescent,detached,"39 Hesse crescent, Ottawa, ON","39 Hesse crescent, Ottawa, ON"
118840,way,45.3549223,-75.7495012,,111,Starwood Road,detached,"111 Starwood road, Ottawa, ON","111 Starwood road, Ottawa, ON"
90356,way,45.3115113,-75.8838025,,194,Barrow Crescent,detached,"194 Barrow crescent, Ottawa, ON","194 Barrow crescent, Ottawa, ON"
51072,way,45.4705166,-75.4848002,,603,Wilkie Drive,detached,"603 Wilkie drive, Ottawa, ON","603 Wilkie drive, Ottawa, ON"
38121,way,45.2683444,-75.754226,,13,Soho Crescent,detached,"13 Soho crescent, Ottawa, ON","13 Soho crescent, Ottawa, ON"
162153,way,45.3402485,-75.6301681,,225,Stedman Street,detached,"225 Stedman street, Ottawa, ON","225 Stedman street, Ottawa, ON"
70932,way,45.2766505,-75.913631,,22,Lazy Nol Court,detached,"22 Lazy nol court, Ottawa, ON","22 Lazy nol court, Ottawa, ON"
133383,way,45.3775363,-75.7598412,,718,Sherbourne Road,detached,"718 Sherbourne road, Ottawa, ON","718 Sherbourne road, Ottawa, ON"
48898,way,45.2485698,-75.9044231,,39,Brightside Avenue,detached,"39 Brightside avenue, Ottawa, ON","39 Brightside avenue, Ottawa, ON"
273305,way,45.014989,-75.6463932,,19,Reuben Crescent,detached,"19 Reuben crescent, Ottawa, ON","19 Reuben crescent, Ottawa, ON"
156037,way,45.4101872,-75.7141775,,79,Elm Street,detached,"79 Elm street, Ottawa, ON","79 Elm street, Ottawa, ON"
58651,way,45.2953859,-75.734399,,2,Grandfield Lane,detached,"2 Grandfield lane, Ottawa, ON","2 Grandfield lane, Ottawa, ON"
104009,way,45.3019828,-75.9025109,,6,McIntosh Way,detached,"6 Mcintosh way, Ottawa, ON","6 Mcintosh way, Ottawa, ON"
62500,way,45.3199238,-75.7105267,,19,Lacewood Court,detached,"19 Lacewood court, Ottawa, ON","19 Lacewood court, Ottawa, ON"
51905,way,45.2599595,-75.9421533,,30,Stonepath Crescent,detached,"30 Stonepath crescent, Ottawa, ON","30 Stonepath crescent, Ottawa, ON"
136293,way,45.440688,-75.6649786,,201,Pères-Blancs Avenue,detached,"201 Pères-blancs avenue, Ottawa, ON","201 Pères-blancs avenue, Ottawa, ON"
109108,way,45.3410753,-75.693766,,61,Kimberwick Crescent,detached,"61 Kimberwick crescent, Ottawa, ON","61 Kimberwick crescent, Ottawa, ON"
63196,way,45.3363216,-75.7556009,,72,Fair Oaks Crescent,detached,"72 Fair oaks crescent, Ottawa, ON","72 Fair oaks crescent, Ottawa, ON"
119459,way,45.3595483,-75.7231605,,127,Beaver Ridge,detached,"127 Beaver ridge, Ottawa, ON","127 Beaver ridge, Ottawa, ON"
72589,way,45.2443186,-75.5913229,,6535,Empire Grove Street,detached,"6535 Empire grove street, Ottawa, ON","6535 Empire grove street, Ottawa, ON"
129048,way,45.2364368,-75.8393481,,3074,Eagleson Road,detached,"3074 Eagleson road, Ottawa, ON","3074 Eagleson road, Ottawa, ON"
13157,way,45.4006291,-75.7468602,,235,Patricia Avenue North,detached,"235 Patricia avenue north, Ottawa, ON","235 Patricia avenue north, Ottawa, ON"
209672,way,45.3406912,-76.1378123,,103,Deerwood Drive,detached,"103 Deerwood drive, Ottawa, ON","103 Deerwood drive, Ottawa, ON"
