,osm_obj_type,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
229125,way,45.3484606,-75.6759176,84,3400,Paul Anka Drive,house,"84-3400 Paul anka drive, Ottawa, ON","3400 Paul anka drive, Ottawa, ON"
249745,way,45.4222692,-75.6576154,13,208,Presland Road,house,"13-208 Presland road, Ottawa, ON","208 Presland road, Ottawa, ON"
234965,way,45.3995498,-75.6179848,55,2115,Erinbrook Crescent,house,"55-2115 Erinbrook crescent, Ottawa, ON","2115 Erinbrook crescent, Ottawa, ON"
227709,way,45.4312543,-75.6486947,7,902,Moorvale Street,house,"7-902 Moorvale street, Ottawa, ON","902 Moorvale street, Ottawa, ON"
150449,way,45.3477727,-75.6635563,64,890,Cahill Drive West,house,"64-890 Cahill drive west, Ottawa, ON","890 Cahill drive west, Ottawa, ON"
234678,way,45.3970531,-75.6134132,110,2570,Southvale Crescent,house,"110-2570 Southvale crescent, Ottawa, ON","2570 Southvale crescent, Ottawa, ON"
239449,way,45.4432544,-75.6632111,13,155,Lebrun Street,house,"13-155 Lebrun street, Ottawa, ON","155 Lebrun street, Ottawa, ON"
229135,way,45.3482316,-75.6764714,64,3400,Paul Anka Drive,house,"64-3400 Paul anka drive, Ottawa, ON","3400 Paul anka drive, Ottawa, ON"
169593,way,45.3978888,-75.613139,32,2570,Southvale Crescent,house,"32-2570 Southvale crescent, Ottawa, ON","2570 Southvale crescent, Ottawa, ON"
19580,way,45.4180004,-75.6678294,5,13,Robinson Avenue,house,"5-13 Robinson avenue, Ottawa, ON","13 Robinson avenue, Ottawa, ON"
241847,way,45.3712671,-75.7378905,70,1500,Caldwell Avenue,house,"70-1500 Caldwell avenue, Ottawa, ON","1500 Caldwell avenue, Ottawa, ON"
241854,way,45.371408,-75.7383527,88,1500,Caldwell Avenue,house,"88-1500 Caldwell avenue, Ottawa, ON","1500 Caldwell avenue, Ottawa, ON"
225936,way,45.3677844,-75.7044415,20,960,Debra Avenue,house,"20-960 Debra avenue, Ottawa, ON","960 Debra avenue, Ottawa, ON"
225088,way,45.3768398,-75.6510901,27,2870,Baycrest Drive,house,"27-2870 Baycrest drive, Ottawa, ON","2870 Baycrest drive, Ottawa, ON"
239311,way,45.4376244,-75.6543234,4,370,Montréal Road,house,"4-370 Montréal road, Ottawa, ON","370 Montréal road, Ottawa, ON"
176777,way,45.3758025,-75.6525954,59,2885,Cedarwood Drive,house,"59-2885 Cedarwood drive, Ottawa, ON","2885 Cedarwood drive, Ottawa, ON"
150287,way,45.3457401,-75.6653532,70,820,Cahill Drive West,house,"70-820 Cahill drive west, Ottawa, ON","820 Cahill drive west, Ottawa, ON"
234777,way,45.3963957,-75.6112891,33,2570,Southvale Crescent,house,"33-2570 Southvale crescent, Ottawa, ON","2570 Southvale crescent, Ottawa, ON"
235819,way,45.4286428,-75.6222155,108,1389,Palmerston Drive,house,"108-1389 Palmerston drive, Ottawa, ON","1389 Palmerston drive, Ottawa, ON"
229092,way,45.3482599,-75.6747455,15,3399,Paul Anka Drive,house,"15-3399 Paul anka drive, Ottawa, ON","3399 Paul anka drive, Ottawa, ON"
229070,way,45.3500214,-75.6810846,2,3205,Uplands Drive,house,"2-3205 Uplands drive, Ottawa, ON","3205 Uplands drive, Ottawa, ON"
229087,way,45.3482362,-75.6748041,16,3399,Paul Anka Drive,house,"16-3399 Paul anka drive, Ottawa, ON","3399 Paul anka drive, Ottawa, ON"
225111,way,45.3760331,-75.6528586,54,2875,Cedarwood Drive,house,"54-2875 Cedarwood drive, Ottawa, ON","2875 Cedarwood drive, Ottawa, ON"
234741,way,45.3968878,-75.6123256,77,2570,Southvale Crescent,house,"77-2570 Southvale crescent, Ottawa, ON","2570 Southvale crescent, Ottawa, ON"
249935,way,45.4168955,-75.6779108,3,72,Greenfield Avenue,house,"3-72 Greenfield avenue, Ottawa, ON","72 Greenfield avenue, Ottawa, ON"
289171,way,45.4354318,-75.6811492,68,3,Desjardins Avenue,house,"68-3 Desjardins avenue, Ottawa, ON","3 Desjardins avenue, Ottawa, ON"
227717,way,45.431542,-75.6484811,20,902,Moorvale Street,house,"20-902 Moorvale street, Ottawa, ON","902 Moorvale street, Ottawa, ON"
229927,way,45.4483882,-75.5943596,16,2111,Montréal Road,house,"16-2111 Montréal road, Ottawa, ON","2111 Montréal road, Ottawa, ON"
108688,way,45.3497355,-75.6782909,43,3205,Uplands Drive,house,"43-3205 Uplands drive, Ottawa, ON","3205 Uplands drive, Ottawa, ON"
239217,way,45.4408476,-75.6533284,13,403,Montfort Street,house,"13-403 Montfort street, Ottawa, ON","403 Montfort street, Ottawa, ON"
249228,way,45.4310925,-75.6432034,19,550,Straby Avenue,house,"19-550 Straby avenue, Ottawa, ON","550 Straby avenue, Ottawa, ON"
242055,way,45.3730113,-75.7360674,43,1100,Medford Street,house,"43-1100 Medford street, Ottawa, ON","1100 Medford street, Ottawa, ON"
234893,way,45.3994147,-75.619177,36,2415,Southvale Crescent,house,"36-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
239479,way,45.4360291,-75.6804141,39,3,Desjardins Avenue,house,"39-3 Desjardins avenue, Ottawa, ON","3 Desjardins avenue, Ottawa, ON"
234943,way,45.4004024,-75.619844,4,2415,Southvale Crescent,house,"4-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
220253,way,45.3849013,-75.7676024,16,655,Richmond Road,house,"16-655 Richmond road, Ottawa, ON","655 Richmond road, Ottawa, ON"
4523,way,45.3847334,-75.767284,17,655,Richmond Road,house,"17-655 Richmond road, Ottawa, ON","655 Richmond road, Ottawa, ON"
204366,way,45.3612845,-75.7100377,9,1563,Fisher Avenue,house,"9-1563 Fisher avenue, Ottawa, ON","1563 Fisher avenue, Ottawa, ON"
229230,way,45.3465195,-75.6649817,37,840,Cahill Drive West,house,"37-840 Cahill drive west, Ottawa, ON","840 Cahill drive west, Ottawa, ON"
234750,way,45.3962247,-75.6121828,107,2570,Southvale Crescent,house,"107-2570 Southvale crescent, Ottawa, ON","2570 Southvale crescent, Ottawa, ON"
229772,way,45.4505142,-75.5957645,1,2300,Ogilvie Road,house,"1-2300 Ogilvie road, Ottawa, ON","2300 Ogilvie road, Ottawa, ON"
134957,way,45.3718974,-75.7745921,4,2237,Lawn Avenue,house,"4-2237 Lawn avenue, Ottawa, ON","2237 Lawn avenue, Ottawa, ON"
229683,way,45.4517294,-75.5949316,80,837,Eastvale Drive,house,"80-837 Eastvale drive, Ottawa, ON","837 Eastvale drive, Ottawa, ON"
234952,way,45.4000236,-75.6199636,21,2415,Southvale Crescent,house,"21-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
234951,way,45.4000442,-75.6198905,20,2415,Southvale Crescent,house,"20-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
225130,way,45.376205,-75.6510869,7,1481,Walkley Road,house,"7-1481 Walkley road, Ottawa, ON","1481 Walkley road, Ottawa, ON"
242836,way,45.3731301,-75.6014115,93,181,Forestglade Crescent,house,"93-181 Forestglade crescent, Ottawa, ON","181 Forestglade crescent, Ottawa, ON"
244965,way,45.3487786,-75.6386738,104,3691,Albion Road,house,"104-3691 Albion road, Ottawa, ON","3691 Albion road, Ottawa, ON"
229878,way,45.4485041,-75.5927146,77,2111,Montréal Road,house,"77-2111 Montréal road, Ottawa, ON","2111 Montréal road, Ottawa, ON"
234942,way,45.4002038,-75.6205562,13,2415,Southvale Crescent,house,"13-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
229324,way,45.3484405,-75.664067,7,890,Cahill Drive West,house,"7-890 Cahill drive west, Ottawa, ON","890 Cahill drive west, Ottawa, ON"
234780,way,45.3968139,-75.611584,17,2570,Southvale Crescent,house,"17-2570 Southvale crescent, Ottawa, ON","2570 Southvale crescent, Ottawa, ON"
220265,way,45.3852514,-75.7671615,31,655,Richmond Road,house,"31-655 Richmond road, Ottawa, ON","655 Richmond road, Ottawa, ON"
229071,way,45.3479493,-75.6744867,31,3411,Paul Anka Drive,house,"31-3411 Paul anka drive, Ottawa, ON","3411 Paul anka drive, Ottawa, ON"
229737,way,45.4516597,-75.5937024,13,837,Eastvale Drive,house,"13-837 Eastvale drive, Ottawa, ON","837 Eastvale drive, Ottawa, ON"
241813,way,45.3720551,-75.7360754,22,1500,Caldwell Avenue,house,"22-1500 Caldwell avenue, Ottawa, ON","1500 Caldwell avenue, Ottawa, ON"
239257,way,45.4413749,-75.6518236,8,409,Montfort Street,house,"8-409 Montfort street, Ottawa, ON","409 Montfort street, Ottawa, ON"
229708,way,45.4517117,-75.5941717,52,837,Eastvale Drive,house,"52-837 Eastvale drive, Ottawa, ON","837 Eastvale drive, Ottawa, ON"
229664,way,45.4510498,-75.5944813,101,837,Eastvale Drive,house,"101-837 Eastvale drive, Ottawa, ON","837 Eastvale drive, Ottawa, ON"
177885,way,45.450818,-75.5950497,135,837,Eastvale Drive,house,"135-837 Eastvale drive, Ottawa, ON","837 Eastvale drive, Ottawa, ON"
225955,way,45.3684197,-75.7044798,13,955,Debra Avenue,house,"13-955 Debra avenue, Ottawa, ON","955 Debra avenue, Ottawa, ON"
239729,way,45.431185,-75.6847024,39,260,York Street,house,"39-260 York street, Ottawa, ON","260 York street, Ottawa, ON"
229060,way,45.3503453,-75.680274,12,3205,Uplands Drive,house,"12-3205 Uplands drive, Ottawa, ON","3205 Uplands drive, Ottawa, ON"
229917,way,45.4484919,-75.5934478,33,2111,Montréal Road,house,"33-2111 Montréal road, Ottawa, ON","2111 Montréal road, Ottawa, ON"
239791,way,45.4333816,-75.6794902,37,20,Heney Street,house,"37-20 Heney street, Ottawa, ON","20 Heney street, Ottawa, ON"
162668,way,45.3490398,-75.6387979,111,3691,Albion Road,house,"111-3691 Albion road, Ottawa, ON","3691 Albion road, Ottawa, ON"
234938,way,45.4002895,-75.6202668,9,2415,Southvale Crescent,house,"9-2415 Southvale crescent, Ottawa, ON","2415 Southvale crescent, Ottawa, ON"
4521,way,45.3844894,-75.7673721,2,655,Richmond Road,house,"2-655 Richmond road, Ottawa, ON","655 Richmond road, Ottawa, ON"
246069,way,45.4443009,-75.6288454,2,889,Bermuda Avenue,house,"2-889 Bermuda avenue, Ottawa, ON","889 Bermuda avenue, Ottawa, ON"
