,osm_obj_type,id,latitude,longitude,unit,street_no,street_name,osm_tag,full_address,request_address
22006,way,469765202,45.1410867,-75.6126751,,3267,Boyd Street,house,"3267 Boyd street, Ottawa, ON","3267 Boyd street, Ottawa, ON"
165098,way,483045387,45.4317949,-75.5688385,,28,Southpark Drive,house,"28 Southpark drive, Ottawa, ON","28 Southpark drive, Ottawa, ON"
257191,way,600851767,45.3656508,-75.7958477,,2716,Howe Street,house,"2716 Howe street, Ottawa, ON","2716 Howe street, Ottawa, ON"
143984,way,479538421,45.4247536,-75.6514814,,267,Prince Albert Street,house,"267 Prince albert street, Ottawa, ON","267 Prince albert street, Ottawa, ON"
248636,way,584998381,45.4167584,-75.6832577,,54,Frank Street,house,"54 Frank street, Ottawa, ON","54 Frank street, Ottawa, ON"
245379,way,583539102,45.3400581,-75.6339371,,3546,Aladdin Lane,house,"3546 Aladdin lane, Ottawa, ON","3546 Aladdin lane, Ottawa, ON"
249854,way,585524943,45.4238152,-75.6483347,,392 A,Presland Road,house,"392 A Presland road, Ottawa, ON","392 A Presland road, Ottawa, ON"
142033,way,479506895,45.4050893,-75.7066973,,218,Lebreton Street North,house,"218 Lebreton street north, Ottawa, ON","218 Lebreton street north, Ottawa, ON"
202333,way,547547791,45.3521142,-75.7991601,,2992,Richmond Road,house,"2992 Richmond road, Ottawa, ON","2992 Richmond road, Ottawa, ON"
114668,way,473220149,45.4431409,-75.6007209,,1886,Elmridge Drive,house,"1886 Elmridge drive, Ottawa, ON","1886 Elmridge drive, Ottawa, ON"
130870,way,474837568,45.3734165,-75.7565753,,872,Maitland Avenue,house,"872 Maitland avenue, Ottawa, ON","872 Maitland avenue, Ottawa, ON"
263757,way,613970321,45.2794578,-75.6888572,,4289,Owl Valley Drive,house,"4289 Owl valley drive, Ottawa, ON","4289 Owl valley drive, Ottawa, ON"
266829,way,614356642,45.2921632,-75.8720892,,67,Rothesay Drive,house,"67 Rothesay drive, Ottawa, ON","67 Rothesay drive, Ottawa, ON"
154223,way,481444156,45.3611181,-75.7854884,,864,Tavistock Road,house,"864 Tavistock road, Ottawa, ON","864 Tavistock road, Ottawa, ON"
227794,way,572234873,45.3619746,-75.7147368,,1149 E,Meadowlands Drive East,house,"1149 E Meadowlands drive east, Ottawa, ON","1149 E Meadowlands drive east, Ottawa, ON"
8839,way,318273440,45.3678999,-75.7999351,,169,Kehoe Street,house,"169 Kehoe street, Ottawa, ON","169 Kehoe street, Ottawa, ON"
224428,way,568608958,45.3704691,-75.621295,,118,Wallack Private,house,"118 Wallack private, Ottawa, ON","118 Wallack private, Ottawa, ON"
25380,way,469953431,45.1654072,-75.9444205,,56,Owlshead Road,house,"56 Owlshead road, Ottawa, ON","56 Owlshead road, Ottawa, ON"
